"행정구역별(1)","특성별(1)",특성별(2),2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
"전국","직업",사? 무,100.0,19.9,5.3,12.5,1.7,2.2,52.1,,5.0,0.0,1.4,100.0,19.7,5.6,12.4,1.1,1.7,53.1,,4.2,0.1,2.2,100.0,19.9,6.9,11.6,1.5,1.5,52.2,,4.0,0.0,2.4,100.0,21.1,5.9,12.0,1.8,0.8,52.8,,4.0,0.1,1.5,100.0,21.7,5.0,11.1,1.6,0.7,53.9,1.5,3.0,0.1,1.5,100.0,16.9,,13.3,,1.8,58.9,1.7,4.1,0.2,3.0
"전국","직업",서비스판매,100.0,21.2,4.3,12.3,2.3,3.0,47.2,,6.3,0.1,3.3,100.0,21.9,4.8,12.6,2.1,2.2,44.4,,7.6,0.0,4.4,100.0,21.4,5.0,11.5,1.8,2.4,45.1,,7.0,0.0,5.9,100.0,22.4,4.8,12.3,2.3,1.5,46.0,,6.6,0.1,4.0,100.0,24.1,4.3,11.7,2.2,1.7,43.7,2.5,5.8,0.1,3.8,100.0,17.0,,14.1,,2.6,50.5,2.9,6.3,0.5,6.1
"전국","직업",농어업,100.0,18.2,1.8,6.0,1.4,3.0,48.0,,8.5,0.2,12.9,100.0,13.0,1.8,8.3,2.6,2.6,51.1,,9.5,1.0,10.1,100.0,15.1,2.4,5.9,1.7,1.7,53.9,,9.7,,9.6,100.0,16.9,2.6,7.1,1.6,1.7,52.9,,9.0,,8.2,100.0,19.0,2.8,7.0,1.6,0.9,48.4,2.8,7.7,,10.0,100.0,17.8,,7.7,,2.5,48.2,3.3,9.9,0.1,10.6
"전국","직업",기능노무,100.0,20.7,3.6,11.6,2.0,3.3,45.6,,7.0,0.0,6.2,100.0,20.6,3.6,12.3,2.1,2.7,43.9,,7.2,0.0,7.6,100.0,19.6,5.1,10.9,2.0,2.0,43.9,,7.0,0.0,9.6,100.0,22.2,4.9,11.8,2.4,1.3,43.0,,7.2,0.1,7.0,100.0,24.4,3.9,11.2,1.7,1.7,42.2,2.6,5.6,0.0,6.7,100.0,17.4,,13.5,,2.7,47.2,3.0,7.1,0.2,9.0
"전국","종사상지위",임금근로자,100.0,20.8,4.4,12.3,1.8,2.6,49.2,,5.6,0.0,3.4,100.0,20.8,4.9,12.5,1.8,2.1,47.6,,6.0,0.1,4.2,100.0,20.1,5.6,11.8,1.6,1.8,48.2,,5.5,0.0,5.3,100.0,21.5,5.1,12.7,1.9,1.2,48.2,,5.4,0.1,3.9,100.0,23.6,4.5,11.4,1.8,1.2,47.6,2.3,4.1,0.1,3.4,100.0,16.8,,14.0,,2.2,53.0,2.5,5.3,0.4,5.8
"전국","종사상지위",고용주,100.0,20.1,6.6,8.2,2.9,2.4,49.9,,6.3,0.1,3.4,100.0,19.6,7.6,9.8,1.9,1.7,49.3,,6.8,,3.2,100.0,20.1,7.6,9.6,2.0,1.6,48.5,,5.8,0.0,4.7,100.0,20.3,6.7,9.1,1.9,0.4,50.4,,6.8,0.1,4.2,100.0,21.4,5.8,9.2,2.0,0.7,49.0,1.4,6.6,,3.8,100.0,15.1,,10.7,,2.2,56.9,3.3,6.8,0.3,4.8
"전국","종사상지위",자영자,100.0,19.7,4.1,9.0,2.5,2.8,47.6,,7.1,0.1,7.0,100.0,18.0,3.5,10.1,2.2,2.2,48.8,,7.4,0.4,7.4,100.0,18.3,4.3,7.8,1.9,1.7,49.7,,8.1,0.0,8.3,100.0,20.5,4.1,9.4,3.1,1.4,48.6,,6.9,0.0,6.0,100.0,21.8,4.1,10.2,1.5,1.3,46.3,2.2,5.9,,6.7,100.0,17.1,,11.0,,2.4,50.2,3.0,7.5,0.1,8.6
"전국","주관적 만족감",만족,100.0,21.7,4.9,9.8,2.0,1.6,50.7,,6.0,0.1,3.2,100.0,23.6,5.0,10.2,1.8,1.5,48.1,,5.3,0.0,4.3,100.0,21.2,5.5,9.6,1.4,1.5,50.5,,5.0,0.0,5.2,100.0,21.4,5.2,10.3,2.2,1.0,50.1,,5.1,0.1,4.6,100.0,23.3,4.3,10.3,1.6,0.9,49.9,1.9,3.9,0.0,3.8,100.0,17.3,,12.5,,1.9,54.7,2.5,5.2,0.3,5.6
"전국","주관적 만족감",보통,100.0,21.6,3.9,10.7,1.9,2.8,46.7,,5.8,0.1,6.4,100.0,21.3,4.1,10.7,1.9,2.1,46.6,,6.2,0.1,7.1,100.0,21.4,4.5,10.2,1.6,1.9,45.3,,6.4,0.0,8.7,100.0,22.1,4.3,10.7,2.1,1.2,46.9,,6.1,0.1,6.6,100.0,23.9,3.9,9.7,1.8,1.4,45.2,2.4,5.3,0.0,6.4,100.0,18.2,,12.6,,2.4,49.1,2.8,6.2,0.3,8.5
"전국","주관적 만족감",불만족,100.0,19.4,3.2,11.1,1.8,3.1,46.8,,6.5,0.0,8.1,100.0,19.4,3.9,11.8,1.9,2.6,44.5,,6.9,0.1,9.0,100.0,18.8,4.5,10.2,2.0,2.2,43.0,,6.8,0.0,12.4,100.0,20.0,4.1,12.0,2.3,1.6,44.5,,7.1,0.0,8.5,100.0,22.5,4.0,11.4,2.0,1.8,42.3,2.2,5.5,0.1,8.3,100.0,17.6,,13.5,,2.7,45.0,3.0,6.3,0.5,11.3
"전국","가구소득",50만원 미만,100.0,13.4,2.6,6.2,1.4,3.0,48.4,-,6.9,0.0,18.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"전국","가구소득",50~100만원 미만,100.0,18.8,2.7,8.9,2.1,3.8,45.5,-,7.3,0.1,10.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"전국","가구소득",100만원 미만,-,-,-,-,-,-,-,-,-,-,-,100.0,17.8,2.7,8.6,2.2,2.6,44.7,,6.9,0.4,14.2,100.0,17.5,3.2,7.7,1.6,2.0,44.2,,7.5,0.1,16.1,100.0,20.3,3.8,7.7,1.8,1.2,44.1,,8.7,0.0,12.4,100.0,19.9,3.2,8.0,2.1,1.4,41.6,2.7,6.7,0.0,14.4,100.0,16.5,,11.3,,1.9,44.1,3.2,7.1,0.4,15.5
"전국","가구소득",100∼200만원 미만,100.0,21.8,3.5,11.4,1.9,2.6,46.0,,6.2,0.0,6.6,100.0,22.3,3.3,12.0,2.2,2.2,43.1,,6.6,0.1,8.2,100.0,20.9,3.7,10.9,1.7,2.0,43.6,,6.9,0.0,10.4,100.0,20.9,4.1,11.4,2.3,1.7,45.0,,6.4,0.0,8.1,100.0,23.8,3.8,10.3,1.8,1.9,40.8,2.6,6.2,0.1,8.7,100.0,18.4,,12.9,,2.6,44.5,3.2,7.1,0.2,11.2
"전국","가구소득",200∼300만원 미만,100.0,21.9,4.0,11.6,1.7,2.9,46.7,,5.9,0.1,5.1,100.0,20.8,4.6,11.4,1.7,2.1,47.1,,6.5,0.0,5.8,100.0,21.6,4.7,10.3,2.0,2.1,45.7,,5.9,0.0,7.6,100.0,22.3,4.9,11.8,2.3,1.4,46.0,,5.9,0.1,5.3,100.0,25.3,4.2,10.4,1.8,1.7,43.4,2.3,4.6,0.1,6.1,100.0,18.1,,12.3,,2.7,49.8,3.0,6.0,0.3,7.8
"전국","가구소득",300∼400만원 미만,100.0,21.1,4.1,11.1,1.8,2.5,49.1,,5.6,0.0,4.6,100.0,22.8,4.5,11.2,1.6,1.7,47.3,,5.9,0.0,5.0,100.0,22.2,5.7,10.6,1.5,1.8,47.5,,4.9,0.1,5.6,100.0,22.4,4.3,11.3,2.0,1.0,48.5,,5.4,0.0,5.1,100.0,23.8,4.3,12.2,1.8,0.9,46.5,2.1,4.4,0.0,4.0,100.0,18.9,,13.1,,2.8,51.0,2.3,5.3,0.4,6.2
"전국","가구소득",400~500만원 미만,100.0,21.6,4.1,11.1,2.6,2.0,49.6,,5.5,0.0,3.4,100.0,22.9,4.7,11.0,1.6,2.2,48.1,,5.6,0.1,4.0,100.0,20.7,5.4,10.7,1.2,1.6,49.4,,5.9,0.0,5.1,100.0,20.7,5.2,11.8,1.9,1.3,50.1,,4.9,0.1,4.1,100.0,24.7,4.0,10.0,1.7,1.4,48.3,1.9,4.3,0.1,3.5,100.0,18.4,,12.2,,2.3,53.6,2.3,5.7,0.3,5.1
"전국","가구소득",500∼600만원 미만,100.0,21.7,5.8,10.4,1.6,2.3,50.1,,6.0,0.1,2.1,100.0,20.0,7.3,10.2,1.3,2.1,50.5,,5.0,0.1,3.5,100.0,21.5,7.5,9.2,1.8,1.2,50.0,,4.3,0.0,4.5,100.0,22.5,4.5,9.4,2.4,0.9,51.2,,5.0,0.2,3.7,100.0,22.1,4.3,10.3,1.5,1.0,51.6,1.7,4.4,0.1,2.8,100.0,16.9,,14.4,,1.5,54.8,2.6,4.8,0.2,4.9
"전국","가구소득",600만원 이상,100.0,22.1,5.5,10.2,2.4,1.2,49.7,-,5.9,-,2.9,100.0,23.5,5.8,10.0,2.1,1.1,49.9,-,4.7,0.1,2.9,100.0,20.6,6.4,9.5,1.5,1.1,52.9,-,4.6,0.0,3.4,100.0,21.3,5.4,10.3,2.3,0.6,52.0,-,4.5,0.0,3.5,100.0,22.3,4.3,9.7,1.6,0.5,53.1,1.8,3.8,-,2.8,100.0,16.1,-,13.0,-,1.6,56.9,2.5,4.7,0.3,4.9
"전국","연령*성별",13~19세*남자,-,-,-,-,-,-,-,-,-,-,-,100.0,36.0,6.0,8.0,2.6,1.1,25.8,,4.2,0.1,16.3,100.0,32.4,7.5,7.4,2.7,0.9,28.6,,3.9,0.1,16.6,100.0,31.8,6.8,9.1,3.3,0.6,31.6,,3.9,0.2,12.8,100.0,32.9,5.1,7.8,3.3,1.1,32.5,1.3,3.3,,12.7,100.0,24.3,,10.6,,2.2,38.3,2.7,5.3,0.6,16.0
"전국","연령*성별",13~19세*여자,-,-,-,-,-,-,-,-,-,-,-,100.0,38.2,2.7,14.5,2.7,1.3,29.5,,5.5,0.0,5.5,100.0,37.1,3.7,13.3,1.4,1.0,32.1,,4.4,,6.9,100.0,34.2,3.7,15.6,2.7,1.5,34.0,,4.0,,4.4,100.0,39.9,2.7,15.9,1.2,1.4,30.0,2.0,3.0,,3.9,100.0,33.8,,19.9,,1.5,33.2,2.2,3.4,0.1,5.8
"전국","연령*성별",15~19세*남자,100.0,31.6,3.9,9.2,2.3,1.7,29.3,,5.6,0.0,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"전국","연령*성별",15~19세*여자,100.0,38.0,2.0,18.1,1.6,1.7,28.5,,5.9,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"전국","연령*성별",20∼29세*남자,100.0,27.5,7.0,11.9,2.6,1.4,37.8,,4.2,0.0,7.5,100.0,27.6,8.9,11.6,2.4,2.0,35.7,,4.4,0.1,7.3,100.0,24.5,10.1,10.9,2.4,1.1,38.2,,3.5,0.1,9.2,100.0,25.6,11.1,8.2,3.7,0.8,39.0,,3.3,0.5,7.7,100.0,27.8,9.4,7.5,4.1,1.2,37.9,1.9,3.2,0.1,6.9,100.0,21.3,,10.4,,2.8,43.4,2.1,4.4,1.3,14.4
"전국","연령*성별",20∼29세*여자,100.0,25.3,2.9,17.0,1.2,2.2,45.1,,4.1,0.0,2.2,100.0,27.3,3.3,16.2,1.6,1.5,43.1,,4.9,,2.0,100.0,26.4,2.8,16.0,1.1,2.7,44.4,,3.3,,3.4,100.0,31.5,2.6,16.6,1.4,1.1,40.8,,3.6,0.0,2.3,100.0,35.3,2.5,14.9,1.2,1.4,38.6,1.4,2.7,0.1,1.8,100.0,24.5,,23.2,,1.9,43.3,1.6,3.1,0.0,2.3
"전국","연령*성별",30∼39세*남자,100.0,18.4,5.6,9.8,2.1,2.2,55.4,,3.5,0.0,3.1,100.0,17.9,5.4,9.8,1.3,1.7,55.6,,4.1,0.0,4.3,100.0,18.7,6.0,9.8,1.9,1.3,52.4,,3.6,,6.3,100.0,20.5,6.8,9.7,1.9,1.0,52.8,,2.7,0.2,4.4,100.0,22.0,6.5,9.3,1.5,1.0,52.5,1.3,2.0,0.0,4.0,100.0,15.7,,9.4,,2.0,59.3,1.8,3.9,1.0,6.9
"전국","연령*성별",30∼39세*여자,100.0,15.9,2.4,10.2,1.2,3.1,62.3,,3.9,0.0,1.1,100.0,14.0,2.7,11.6,1.2,2.0,62.2,,4.5,0.1,1.8,100.0,16.6,2.4,10.9,1.1,2.0,61.1,,4.5,0.1,1.3,100.0,14.6,1.9,9.9,0.8,1.4,65.4,,4.6,0.1,1.4,100.0,16.9,1.3,11.1,0.3,0.7,64.3,1.2,2.6,0.0,1.5,100.0,11.1,,12.7,,1.9,67.3,1.8,3.2,0.2,1.8
"전국","연령*성별",40∼49세*남자,100.0,21.9,5.3,10.7,2.3,2.5,46.6,,6.5,0.0,4.3,100.0,20.1,5.9,10.9,2.0,1.9,47.6,,5.9,0.1,5.6,100.0,21.5,7.2,9.3,1.7,1.6,45.4,,5.8,0.0,7.4,100.0,21.1,5.3,11.1,2.6,1.3,47.8,,6.1,,4.8,100.0,21.9,5.5,10.3,1.9,0.9,48.8,2.2,4.1,0.0,4.3,100.0,16.1,,11.0,,2.3,55.2,2.6,5.3,0.4,7.1
"전국","연령*성별",40∼49세*여자,100.0,19.7,4.4,12.1,2.2,4.2,47.5,,7.4,0.1,2.3,100.0,19.6,4.1,12.2,1.9,3.5,47.6,,8.4,0.1,2.6,100.0,17.5,4.1,12.8,1.5,2.7,49.9,,8.2,0.1,3.2,100.0,18.7,3.7,12.5,2.3,1.4,52.0,,6.9,,2.5,100.0,20.2,3.3,12.2,1.8,1.8,51.6,2.5,5.2,0.0,1.4,100.0,14.0,,13.9,,3.4,57.7,3.2,5.6,0.2,1.9
"전국","연령*성별",50∼59세*남자,100.0,23.0,4.3,9.2,2.5,2.5,42.8,,8.6,0.0,7.0,100.0,23.4,5.4,11.8,2.1,1.8,40.4,,6.8,0.1,8.2,100.0,22.4,6.5,9.8,1.9,2.1,40.6,,7.3,0.0,9.5,100.0,22.7,5.0,11.8,2.2,1.0,42.4,,7.2,,7.6,100.0,24.2,4.4,11.1,2.1,1.3,40.8,2.5,6.6,0.0,6.8,100.0,18.4,,14.5,,2.4,45.9,3.1,7.1,0.2,8.5
"전국","연령*성별",50∼59세*여자,100.0,18.2,2.9,11.4,1.7,3.8,48.3,,8.5,0.1,5.3,100.0,20.0,2.9,11.5,1.8,2.9,47.9,,8.2,0.2,4.7,100.0,19.1,3.8,10.5,1.7,3.3,48.3,,8.3,0.1,5.1,100.0,19.8,3.7,12.9,1.9,2.2,47.1,,8.3,,4.1,100.0,21.5,3.2,11.7,1.6,2.1,45.4,2.9,7.3,0.1,4.2,100.0,17.1,,14.5,,2.8,51.3,3.1,7.5,0.1,3.6
"전국","연령*성별",60세 이상*남자,100.0,16.5,3.1,7.5,2.2,2.8,47.9,,7.5,0.2,12.4,100.0,16.2,3.0,8.4,2.2,2.3,49.1,,7.1,0.2,11.7,100.0,16.9,3.4,6.6,1.8,1.1,48.8,,6.8,0.0,14.5,100.0,18.9,3.8,9.4,2.5,0.8,46.1,,7.2,,11.2,100.0,20.2,3.5,8.1,1.7,1.4,44.1,2.5,7.1,,11.4,100.0,17.1,,10.3,,2.0,45.9,3.5,8.2,0.1,12.9
"전국","연령*성별",60세 이상*여자,100.0,12.7,1.9,5.3,1.2,2.5,53.6,,7.7,0.1,15.1,100.0,12.1,1.6,6.3,1.3,2.2,52.6,,8.5,0.2,15.1,100.0,12.0,2.0,5.2,1.0,1.4,52.6,,9.1,0.0,16.7,100.0,14.1,2.4,6.3,1.5,1.2,53.6,,9.2,0.0,11.6,100.0,17.1,2.1,7.1,1.4,1.4,47.9,3.3,7.6,0.0,11.9,100.0,14.9,,9.0,,1.8,50.8,3.5,8.0,0.1,12.1
"전국","연령*성별",65세 이상*남자,100.0,14.9,2.9,7.1,2.1,2.9,47.5,,7.5,0.2,14.9,100.0,15.6,3.1,8.0,2.1,2.1,48.1,,7.0,0.2,13.9,100.0,15.9,3.2,5.7,1.5,1.1,49.1,,7.2,0.0,16.1,100.0,18.2,3.5,8.8,2.1,0.8,46.5,,7.4,,12.7,100.0,18.8,3.1,7.6,2.0,1.6,44.1,2.7,7.1,,13.0,100.0,16.6,,9.5,,2.1,46.0,3.2,8.1,0.0,14.6
"전국","연령*성별",65세 이상*여자,100.0,12.2,1.6,4.1,1.1,2.0,54.2,,7.9,0.1,16.8,100.0,11.4,1.2,5.7,1.2,2.4,51.3,,8.6,0.3,17.8,100.0,10.7,1.9,4.7,0.9,1.2,52.5,,8.9,0.0,19.3,100.0,13.5,2.1,5.7,1.1,1.2,53.7,,9.3,,13.5,100.0,15.8,1.9,5.9,1.2,1.4,47.8,3.4,7.8,0.0,14.7,100.0,13.7,,8.0,,1.5,50.2,3.7,8.2,0.0,14.7
